DANE,Department,Deparment_DANE,Year,Month,Deparment_Month,Year_month,Period,DANE_period,DANE_Department_Month,DANE_year,DANE_Year_Month,MPI,altitude,forest,deforest,fire,HFP,mining,Total_pob,coca,temperature,rainfall,vector,cases,sir,excess
15753,15,1515753,2021,8,158,2021-8,176,15753008,15753158,157532021,15753-2021-8,17.3,1400,8.147371892,0,0.203684297,5.889550476,0.276243094,8894,0,14.5294434,7.415866,0,0,0,0
15753,15,1515753,2021,9,159,2021-9,177,15753009,15753159,157532021,15753-2021-9,17.3,1400,8.147371892,0,0.203684297,5.889550476,0.276243094,8894,0,14.707666,5.758127,0,0,0,0
15753,15,1515753,2021,10,1510,2021-10,178,15753010,157531510,157532021,15753-2021-10,17.3,1400,8.147371892,0,0.203684297,5.889550476,0.276243094,8894,0,14.8446289,8.077615,0,0,0,0
15753,15,1515753,2021,11,1511,2021-11,179,15753011,157531511,157532021,15753-2021-11,17.3,1400,8.147371892,0,0.203684297,5.889550476,0.276243094,8894,0,14.589502,5.433738,0,0,0,0
15753,15,1515753,2021,12,1512,2021-12,180,15753012,157531512,157532021,15753-2021-12,17.3,1400,8.147371892,0,0.203684297,5.889550476,0.276243094,8894,0,14.8282715,5.304903,0,0,0,0
15798,15,1515798,2021,1,151,2021-1,169,15798001,15798151,157982021,15798-2021-1,41.1,1400,0.543407635,0,0.543407635,9.425138695,0.337837838,3848,0,14.4408203,1.287832,0,0,0,0
15798,15,1515798,2021,2,152,2021-2,170,15798002,15798152,157982021,15798-2021-2,41.1,1400,0.543407635,0,0.543407635,9.425138695,0.337837838,3848,0,15.0401855,4.764452,0,0,0,0
15798,15,1515798,2021,3,153,2021-3,171,15798003,15798153,157982021,15798-2021-3,41.1,1400,0.543407635,0,0.543407635,9.425138695,0.337837838,3848,0,14.4356934,6.407817,0,0,0,0
15798,15,1515798,2021,4,154,2021-4,172,15798004,15798154,157982021,15798-2021-4,41.1,1400,0.543407635,0,0.543407635,9.425138695,0.337837838,3848,0,14.7904297,5.540296,0,0,0,0
15798,15,1515798,2021,5,155,2021-5,173,15798005,15798155,157982021,15798-2021-5,41.1,1400,0.543407635,0,0.543407635,9.425138695,0.337837838,3848,0,14.698877,8.874812,0,0,0,0
15798,15,1515798,2021,6,156,2021-6,174,15798006,15798156,157982021,15798-2021-6,41.1,1400,0.543407635,0,0.543407635,9.425138695,0.337837838,3848,0,14.4286133,3.441459,0,0,0,0
15798,15,1515798,2021,7,157,2021-7,175,15798007,15798157,157982021,15798-2021-7,41.1,1400,0.543407635,0,0.543407635,9.425138695,0.337837838,3848,0,13.6942383,4.037034,0,0,0,0
15798,15,1515798,2021,8,158,2021-8,176,15798008,15798158,157982021,15798-2021-8,41.1,1400,0.543407635,0,0.543407635,9.425138695,0.337837838,3848,0,14.1722656,3.098944,0,0,0,0
15798,15,1515798,2021,9,159,2021-9,177,15798009,15798159,157982021,15798-2021-9,41.1,1400,0.543407635,0,0.543407635,9.425138695,0.337837838,3848,0,14.3539063,2.36701,0,0,0,0
15798,15,1515798,2021,10,1510,2021-10,178,15798010,157981510,157982021,15798-2021-10,41.1,1400,0.543407635,0,0.543407635,9.425138695,0.337837838,3848,0,15.0208984,4.043476,0,0,0,0
15798,15,1515798,2021,11,1511,2021-11,179,15798011,157981511,157982021,15798-2021-11,41.1,1400,0.543407635,0,0.543407635,9.425138695,0.337837838,3848,0,14.94375,2.575997,0,0,0,0
15798,15,1515798,2021,12,1512,2021-12,180,15798012,157981512,157982021,15798-2021-12,41.1,1400,0.543407635,0,0.543407635,9.425138695,0.337837838,3848,0,15.3556152,1.753241,0,0,0,0
25436,25,2525436,2021,1,251,2021-1,169,25436001,25436251,254362021,25436-2021-1,35.5,1400,9.446502873,0,0.230402509,6.932794238,0.161290323,4048,0,13.1302734,0.680148,1.219512195,0,0,0
25436,25,2525436,2021,2,252,2021-2,170,25436002,25436252,254362021,25436-2021-2,35.5,1400,9.446502873,0,0.230402509,6.932794238,0.161290323,4048,0,13.6505371,4.514809,1.219512195,0,0,0
25436,25,2525436,2021,3,253,2021-3,171,25436003,25436253,254362021,25436-2021-3,35.5,1400,9.446502873,0,0.230402509,6.932794238,0.161290323,4048,0,12.9601074,6.037348,1.219512195,0,0,0
25436,25,2525436,2021,4,254,2021-4,172,25436004,25436254,254362021,25436-2021-4,35.5,1400,9.446502873,0,0.230402509,6.932794238,0.161290323,4048,0,13.2992188,5.193509,1.219512195,0,0,0
25436,25,2525436,2021,5,255,2021-5,173,25436005,25436255,254362021,25436-2021-5,35.5,1400,9.446502873,0,0.230402509,6.932794238,0.161290323,4048,0,13.2193848,7.889421,1.219512195,0,0,0
25436,25,2525436,2021,6,256,2021-6,174,25436006,25436256,254362021,25436-2021-6,35.5,1400,9.446502873,0,0.230402509,6.932794238,0.161290323,4048,0,12.8607422,3.32412,1.219512195,0,0,0
25436,25,2525436,2021,7,257,2021-7,175,25436007,25436257,254362021,25436-2021-7,35.5,1400,9.446502873,0,0.230402509,6.932794238,0.161290323,4048,0,12.2147461,4.08886,1.219512195,0,0,0
25436,25,2525436,2021,8,258,2021-8,176,25436008,25436258,254362021,25436-2021-8,35.5,1400,9.446502873,0,0.230402509,6.932794238,0.161290323,4048,0,12.7582031,3.837259,1.219512195,0,0,0
25436,25,2525436,2021,9,259,2021-9,177,25436009,25436259,254362021,25436-2021-9,35.5,1400,9.446502873,0,0.230402509,6.932794238,0.161290323,4048,0,12.9632813,3.453021,1.219512195,0,0,0
25436,25,2525436,2021,10,2510,2021-10,178,25436010,254362510,254362021,25436-2021-10,35.5,1400,9.446502873,0,0.230402509,6.932794238,0.161290323,4048,0,13.5985352,4.304104,1.219512195,0,0,0
